field_name,description,data_type,data_category,channel,can_be_negative
Loyalty_Program_Purchase,Number of purchases for the loyalty program,Absolute,Response,Loyalty Program,No
Sponsorship_Partnership_Spend,Marketing spend made via Sponsorship or Partnerships or such Events,Absolute,Spend,Sponsorship Partnership,No
Sponsorship_Partnership_Event_Attendance,Number of attendees in the sponsorship or partneship events where the ad were displayed,Absolute,Response,Sponsorship Partnership,No
Swiggy_Spend,Marketing spend made on Swiggy,Absolute,Spend,Swiggy,No
Swiggy_Impressions,Number of times an ad/Promo on Swiggy reached user's screen,Absolute,Response,Swiggy,No
Swiggy_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Swiggy,No
Swiggy_Orders_Attributed,Number of orders that can be attributed to the ad/promo on Swiggy,Absolute,Response,Swiggy,No
Zomato_Spend,Marketing spend made on Zomato,Absolute,Spend,Zomato,No
Zomato_Impressions,Number of times an Ad/Promo on Zomato reached user's screen,Absolute,Response,Zomato,No
Zomato_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Zomato,No
Zomato_Orders_Attributed,Number of orders that can be attributed to the ad/promo on Zomato,Absolute,Response,Zomato,No
Food_Delivery_Ad_Spend,Marketing spend made on ads on Food Delivery apps,Absolute,Spend,Food Deliver App,No
Food_Delivery_App_Impressions,Number of times an Ad/Promo on Food Delivery App reached user's screen,Absolute,Response,Food Deliver App,No
Food_Delivery_App_Clicks,Number of times an ad was clicked (even from same user),Absolute,Response,Food Deliver App,No
Food_Delivery_App_Orders_Attributed,Number of orders that can be attributed to the ad/promo on food delivery apps,Absolute,Response,Food Deliver App,No
